date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,
06.01.15,2521.9,416.0,372.9,1733.0,1114.6,427.1,57.3,3332.0,97.3,776.7,460.3,352.8,72.8,5.4,1566.8,2239.6,250.7,28.1,3.1,0.4,0.0,2521.9,955.1,42.5,510.5,12.0,29.5,
05.31.15,4109.8,257.8,351.3,3500.7,269.5,13.4,36.3,3819.9,88.8,849.4,565.2,352.8,72.8,6.8,1884.0,3649.7,408.5,45.7,5.1,0.6,0.0,4109.8,2225.7,42.2,505.9,12.0,14.5,
05.30.15,4516.9,271.7,358.2,3886.9,411.9,303.9,32.6,4635.3,103.9,900.6,501.6,352.8,72.8,4.7,2698.9,4011.3,449.0,50.3,5.6,0.7,0.0,4516.9,1818.0,49.1,589.1,12.0,15.2,
05.29.15,4640.8,412.7,91.0,4137.1,1680.2,173.3,21.0,6011.6,116.2,981.7,438.2,352.8,72.8,6.2,4043.8,4121.4,461.3,51.6,5.8,0.7,0.0,4640.8,597.0,49.0,588.3,12.0,14.2,
05.28.15,2685.7,328.6,136.5,2220.6,585.2,554.6,73.6,3434.0,88.3,837.5,516.4,352.8,72.8,2.3,1563.8,2385.1,267.0,29.9,3.3,0.4,0.0,2685.7,1121.9,43.0,516.1,12.0,23.2,
05.27.15,4683.3,424.6,389.1,3869.6,1662.0,443.4,25.4,6000.4,60.6,794.5,500.4,352.8,72.8,8.7,4210.5,4159.0,465.5,52.1,5.8,0.7,0.0,4683.3,472.7,46.2,554.4,12.0,14.3,
05.26.15,5774.5,395.6,364.3,5014.6,261.5,568.1,74.0,5918.2,118.7,783.4,454.8,352.8,72.8,3.2,4132.4,5128.1,574.0,64.3,7.2,0.9,0.0,5774.5,1642.1,47.2,565.9,12.0,11.3,
05.25.15,5670.9,330.9,73.2,5266.7,1417.5,470.5,69.1,7223.8,115.3,843.5,483.5,352.8,72.8,6.4,5349.5,5036.1,563.7,63.1,7.1,0.9,0.0,5670.9,321.4,48.6,582.8,12.0,11.1,
05.24.15,2549.9,220.9,393.3,1935.7,1386.9,361.3,61.0,3744.9,116.2,1189.7,430.2,352.8,72.8,6.7,1576.4,2264.5,253.5,28.4,3.2,0.4,0.0,2549.9,973.5,44.6,535.1,12.0,27.6,
05.23.15,4626.9,262.3,135.9,4228.7,782.4,109.0,74.5,5194.5,93.1,1012.9,469.4,352.8,72.8,9.6,3183.9,4109.0,459.9,51.5,5.8,0.7,0.0,4626.9,1442.9,42.2,506.6,12.0,12.0,
